id,container_number,vessel_id,container_type,status,destination,weight,priority,terminal,arrival_date
293,ZTCU2034637,16,dangerous_goods,damaged,Hamburg,7151.46,normal,Terminal A,2026-07-18
294,WLMU5342289,75,open_top,in_yard,Shanghai,7141.51,normal,Terminal A,2026-02-09
295,BFPU6562484,12,standard,delayed,Singapore,6367.72,normal,Terminal B,2026-06-13
296,ZTCU7421134,64,reefer,in_yard,Santos,25615.91,normal,Terminal C,2026-07-27
297,OPXU1581321,114,reefer,dispatched,Ningbo,14971.18,high,Terminal B,2026-04-28
298,ZTCU5693862,8,standard,loaded,Algeciras,8477.84,urgent,Terminal B,2026-07-06
299,BFPU7024901,49,standard,dispatched,Colombo,25729.6,normal,Terminal A,2026-02-25
300,OPXU1437264,35,standard,in_yard,Antwerp,3523.37,urgent,Terminal B,2026-05-20
301,WLMU4905100,99,flat_rack,in_yard,Busan,8929.7,high,Terminal C,2026-07-25
302,OPXU7516648,98,standard,dispatched,Jebel Ali,6578.61,normal,Terminal C,2026-06-29
303,WLMU1473227,117,reefer,loaded,Durban,16653.77,normal,Terminal A,2026-01-08
304,BFPU9258194,108,standard,in_yard,Singapore,4346.69,normal,Terminal B,2026-01-02
305,WLMU9019324,3,standard,delayed,Santos,22967.58,normal,Terminal C,2026-01-24
306,BFPU6428919,118,standard,in_yard,Hamburg,22133.53,high,Terminal A,2026-03-04
307,QRSU7636992,10,reefer,in_yard,Long Beach,5547.74,low,Terminal A,2026-07-01
308,JHDU9173859,102,reefer,in_yard,Nhava Sheva,20032.57,high,Terminal A,2026-03-13
309,JHDU3941912,29,standard,dispatched,Ningbo,5311.06,normal,Terminal C,2026-07-16
310,BFPU1543292,109,standard,in_yard,Vancouver,7743.28,normal,Terminal C,2026-08-03
311,QRSU2305378,19,standard,damaged,Jebel Ali,18540.86,urgent,Terminal A,2026-06-15
312,ZTCU5449526,58,standard,dispatched,Colombo,8673.11,low,Terminal B,2026-05-25
313,VNKU8352113,7,reefer,damaged,Tanjung Pelepas,14820.13,normal,Terminal B,2026-04-09
314,BFPU9044494,13,dangerous_goods,loaded,Busan,6229.07,low,Terminal A,2026-03-10
315,ZTCU6347182,38,standard,in_yard,Long Beach,6422.74,normal,Terminal C,2026-05-31
316,ZTCU6669869,71,reefer,dispatched,Valencia,20317.12,normal,Terminal C,2026-01-03
317,VNKU3635764,78,standard,in_yard,Santos,12641.28,normal,Terminal A,2026-08-13
318,QRSU5989554,85,standard,in_yard,Durban,16291.23,normal,Terminal A,2026-04-09
319,ZTCU8174037,47,standard,dispatched,Vancouver,14488.54,low,Terminal C,2026-08-09
320,JHDU5895783,22,flat_rack,loaded,Los Angeles,10017.19,normal,Terminal A,2026-01-25
321,JHDU5446036,115,standard,loaded,Jebel Ali,11646.53,normal,Terminal A,2026-08-01
322,ZTCU5417373,58,standard,in_yard,Antwerp,16670.41,low,Terminal B,2026-05-25
323,JHDU6767862,11,dangerous_goods,loaded,Durban,7915.33,low,Terminal B,2026-01-22
324,WLMU8023480,105,flat_rack,dispatched,Valencia,16890.57,normal,Terminal B,2026-07-01
325,VNKU1582647,11,standard,delayed,Durban,19615.91,normal,Terminal B,2026-01-21
326,VNKU3900427,97,flat_rack,in_yard,Santos,23019.98,low,Terminal A,2026-01-03
327,JHDU8304686,11,standard,dispatched,Hamburg,23686.81,normal,Terminal B,2026-01-21
328,VNKU7666510,12,reefer,delayed,Algeciras,13912.09,high,Terminal B,2026-06-13
329,VNKU3510581,15,standard,loaded,Los Angeles,26048.13,normal,Terminal B,2026-06-26
330,QRSU9986438,101,open_top,delayed,Antwerp,11959.13,normal,Terminal A,2026-02-11
331,OPXU5620682,5,standard,dispatched,Piraeus,3008.35,high,Terminal A,2026-07-28
332,OPXU1826965,89,reefer,delayed,Colombo,2526.06,high,Terminal A,2026-05-27
333,QRSU9248001,40,open_top,dispatched,Busan,5494.02,urgent,Terminal A,2026-06-22
334,BFPU6383277,100,standard,loaded,Shanghai,6886.33,normal,Terminal C,2026-07-29
335,VNKU9665455,95,open_top,dispatched,Algeciras,22578.75,low,Terminal C,2026-07-17
336,BFPU9796063,18,open_top,in_yard,Santos,24754.69,normal,Terminal B,2026-03-22
337,ZTCU8657937,32,standard,loaded,Santos,9123.41,high,Terminal A,2026-01-22
338,ZTCU1512765,82,standard,loaded,Felixstowe,6617.18,high,Terminal A,2026-08-05
339,OPXU5339593,45,reefer,dispatched,Ningbo,2713.71,low,Terminal A,2026-08-09
340,OPXU4776753,110,reefer,in_yard,Tanjung Pelepas,15345.31,high,Terminal B,2026-06-04
341,OPXU3905824,61,reefer,in_yard,Antwerp,17816.94,urgent,Terminal A,2026-06-10
342,VNKU6850369,55,standard,in_yard,Ningbo,19607.1,high,Terminal C,2026-02-18
343,ZTCU1123271,75,standard,dispatched,Colombo,16597.89,normal,Terminal A,2026-02-10
344,JHDU2813693,39,standard,in_yard,Antwerp,18655.46,high,Terminal B,2026-03-01
345,JHDU6012883,84,standard,loaded,Busan,25391.86,high,Terminal B,2026-06-03
346,QRSU3347627,85,reefer,dispatched,Ningbo,8745.08,normal,Terminal A,2026-04-10
347,ZTCU4186247,95,standard,dispatched,Nhava Sheva,18596.15,normal,Terminal C,2026-07-17
348,QRSU3851902,65,dangerous_goods,delayed,Jebel Ali,9638.39,normal,Terminal A,2026-06-20
349,BFPU4071377,93,flat_rack,delayed,Shanghai,7778.59,normal,Terminal A,2026-01-25
350,BFPU6558579,54,standard,loaded,Felixstowe,24131.56,normal,Terminal C,2026-08-24
351,OPXU9396617,61,standard,dispatched,Algeciras,9757.25,low,Terminal A,2026-06-09
352,OPXU6749046,18,standard,loaded,Felixstowe,5723.83,high,Terminal B,2026-03-22
353,ZTCU9180249,100,standard,damaged,Long Beach,18496.97,low,Terminal C,2026-07-29
354,BFPU3828735,27,reefer,in_yard,Shanghai,5364.55,normal,Terminal A,2026-07-05
355,VNKU9009447,52,standard,in_yard,Santos,20997.14,urgent,Terminal C,2026-03-18
356,BFPU9909268,97,standard,dispatched,Busan,7882.91,high,Terminal A,2026-01-03
357,ZTCU7434909,17,standard,in_yard,Shanghai,23419.94,normal,Terminal C,2026-04-14
358,JHDU9728991,59,reefer,in_yard,Hamburg,10911.05,high,Terminal C,2026-03-04
359,OPXU3766286,97,flat_rack,delayed,Piraeus,2497.24,normal,Terminal A,2026-01-02
360,JHDU1367643,28,reefer,in_yard,Colombo,20488.86,high,Terminal C,2026-01-29
361,JHDU5291430,113,dangerous_goods,dispatched,Vancouver,27861.69,normal,Terminal B,2026-04-29
362,JHDU2942630,7,standard,loaded,Nhava Sheva,8571.2,normal,Terminal B,2026-04-08
363,JHDU1156104,89,standard,dispatched,Algeciras,9019.41,normal,Terminal A,2026-05-26
364,BFPU2760168,54,standard,dispatched,Ningbo,4964.33,low,Terminal C,2026-08-24
365,OPXU5412305,78,dangerous_goods,damaged,Colombo,20289.36,normal,Terminal A,2026-08-12
366,VNKU4484526,71,reefer,loaded,Busan,2071.19,normal,Terminal C,2026-01-03
367,WLMU9289690,107,standard,in_yard,Algeciras,3951.25,normal,Terminal C,2026-06-29
368,OPXU8663014,83,flat_rack,in_yard,Felixstowe,3302.09,high,Terminal B,2026-03-08
369,QRSU7043399,110,dangerous_goods,in_yard,Los Angeles,4469.96,high,Terminal B,2026-06-04
370,BFPU3321873,2,reefer,in_yard,Colombo,25257.72,urgent,Terminal B,2026-06-24
371,JHDU2559464,113,standard,in_yard,Los Angeles,12420.22,urgent,Terminal B,2026-04-30
372,VNKU9023619,107,dangerous_goods,dispatched,Jebel Ali,4939.47,normal,Terminal C,2026-06-28
373,OPXU2740017,109,standard,loaded,Durban,19638.22,low,Terminal C,2026-08-03
374,QRSU1483456,100,open_top,delayed,Hamburg,14560.07,normal,Terminal C,2026-07-29
375,ZTCU2062602,57,standard,in_yard,Algeciras,21955.75,normal,Terminal B,2026-06-02
376,BFPU6675742,86,standard,dispatched,Vancouver,4476.3,normal,Terminal A,2026-05-18
377,QRSU7457158,62,standard,dispatched,Vancouver,3418.72,normal,Terminal A,2026-02-03
378,BFPU8873361,65,open_top,delayed,Shanghai,21537.18,normal,Terminal A,2026-06-20
379,ZTCU9504862,36,standard,dispatched,Piraeus,23244.69,low,Terminal B,2026-04-07
380,WLMU8517846,103,standard,loaded,Long Beach,5086.38,normal,Terminal B,2026-03-15
381,VNKU7917892,14,standard,loaded,Shanghai,22586.37,urgent,Terminal B,2026-03-05
382,WLMU4470388,114,reefer,loaded,Long Beach,11446.9,low,Terminal B,2026-04-27
383,VNKU6569576,109,reefer,dispatched,Valencia,20633.11,normal,Terminal C,2026-08-03
384,ZTCU4720299,15,standard,loaded,Ningbo,16239.96,normal,Terminal B,2026-06-26
385,OPXU9261472,6,standard,dispatched,Tanjung Pelepas,4781.0,normal,Terminal B,2026-03-29
386,BFPU7591709,16,standard,dispatched,Santos,20636.49,low,Terminal A,2026-07-19
387,JHDU3067274,6,dangerous_goods,loaded,Durban,26860.95,low,Terminal B,2026-03-30
388,WLMU1814896,1,reefer,loaded,Durban,14556.23,normal,Terminal A,2026-01-07
389,WLMU3913368,89,reefer,in_yard,Piraeus,19095.57,normal,Terminal A,2026-05-27
390,VNKU8024028,65,flat_rack,delayed,Busan,9113.49,urgent,Terminal A,2026-06-20
391,BFPU3237608,58,standard,dispatched,Algeciras,9771.74,normal,Terminal B,2026-05-26
392,JHDU4646403,92,standard,dispatched,Ningbo,19851.89,high,Terminal C,2026-01-22
393,JHDU3983202,91,standard,dispatched,Long Beach,20469.17,high,Terminal C,2026-02-25
394,WLMU8004117,75,reefer,delayed,Nhava Sheva,9434.13,high,Terminal A,2026-02-09
395,ZTCU1423996,67,standard,in_yard,Singapore,7197.46,high,Terminal A,2026-06-04
396,JHDU5203716,37,standard,in_yard,Ningbo,7304.02,normal,Terminal C,2026-02-28
397,VNKU2719329,105,reefer,dispatched,Nhava Sheva,24485.88,normal,Terminal B,2026-07-01
398,WLMU5825775,31,reefer,in_yard,Piraeus,12076.42,urgent,Terminal A,2026-08-14
399,ZTCU1217520,71,reefer,in_yard,Felixstowe,23579.57,high,Terminal C,2026-01-04
400,WLMU4296204,97,dangerous_goods,damaged,Ningbo,13669.19,urgent,Terminal A,2026-01-02
401,OPXU9620919,24,standard,in_yard,Antwerp,16471.56,low,Terminal C,2026-05-01
402,QRSU8823741,1,reefer,in_yard,Hamburg,26144.33,normal,Terminal A,2026-01-08
403,BFPU7007679,63,standard,dispatched,Algeciras,7719.01,low,Terminal C,2026-02-10
404,WLMU3673793,101,standard,loaded,Shanghai,11084.48,high,Terminal A,2026-02-11
405,QRSU5925360,43,standard,dispatched,Algeciras,14346.29,normal,Terminal C,2026-04-01
406,JHDU6805039,15,standard,delayed,Vancouver,25883.79,normal,Terminal B,2026-06-26
407,QRSU7398370,88,open_top,delayed,Piraeus,8671.35,normal,Terminal C,2026-03-21
408,WLMU7290752,117,standard,loaded,Valencia,3140.14,high,Terminal A,2026-01-08
409,WLMU2381527,42,flat_rack,in_yard,Nhava Sheva,15863.35,normal,Terminal A,2026-07-26
410,JHDU4576485,86,open_top,loaded,Los Angeles,7345.07,high,Terminal A,2026-05-19
411,BFPU2209981,83,reefer,in_yard,Felixstowe,20638.58,low,Terminal B,2026-03-08
412,OPXU5226314,7,reefer,loaded,Busan,25685.65,normal,Terminal B,2026-04-09
413,VNKU8264954,81,standard,loaded,Los Angeles,15905.69,normal,Terminal C,2026-07-17
414,JHDU1763646,97,reefer,in_yard,Algeciras,4759.52,high,Terminal A,2026-01-03
415,ZTCU5723078,78,dangerous_goods,loaded,Piraeus,23375.18,low,Terminal A,2026-08-12
416,OPXU3288101,69,reefer,dispatched,Nhava Sheva,9669.44,normal,Terminal B,2026-04-20
417,BFPU7260091,87,flat_rack,in_yard,Nhava Sheva,5675.72,low,Terminal A,2026-03-27
418,WLMU2428191,69,standard,dispatched,Colombo,7505.16,high,Terminal B,2026-04-19
419,OPXU4704207,21,reefer,in_yard,Los Angeles,6715.31,high,Terminal A,2026-05-30
420,BFPU8738745,109,reefer,in_yard,Shanghai,8517.88,low,Terminal C,2026-08-03
421,QRSU3151093,43,reefer,in_yard,Ningbo,18107.41,high,Terminal C,2026-04-02
422,VNKU6508733,63,reefer,in_yard,Durban,5962.27,normal,Terminal C,2026-02-11
423,OPXU1081065,55,standard,dispatched,Tanjung Pelepas,9193.68,normal,Terminal C,2026-02-18
424,VNKU8765307,113,standard,dispatched,Valencia,16343.47,low,Terminal B,2026-04-29
425,QRSU3348838,108,open_top,in_yard,Shanghai,20913.06,high,Terminal B,2026-01-02
426,WLMU7797028,105,dangerous_goods,in_yard,Singapore,16341.44,normal,Terminal B,2026-07-01
427,BFPU3493647,84,standard,in_yard,Durban,21063.9,normal,Terminal B,2026-06-03
428,WLMU2519244,65,standard,loaded,Busan,24047.53,high,Terminal A,2026-06-19
429,WLMU3355029,97,standard,in_yard,Durban,19144.75,urgent,Terminal A,2026-01-03
430,ZTCU4671175,46,dangerous_goods,in_yard,Antwerp,11605.31,low,Terminal A,2026-02-16
431,BFPU7060792,67,standard,delayed,Singapore,3037.52,normal,Terminal A,2026-06-04
432,WLMU5588489,91,dangerous_goods,in_yard,Nhava Sheva,16824.16,normal,Terminal C,2026-02-25
433,WLMU2305896,47,standard,loaded,Busan,15425.67,normal,Terminal C,2026-08-10
434,BFPU9088465,63,open_top,in_yard,Hamburg,13437.37,normal,Terminal C,2026-02-11
435,OPXU4135756,28,standard,dispatched,Los Angeles,19188.85,normal,Terminal C,2026-01-29
436,ZTCU9078508,93,reefer,loaded,Durban,6192.4,high,Terminal A,2026-01-24
437,ZTCU3145556,32,reefer,in_yard,Algeciras,3018.96,normal,Terminal A,2026-01-21
438,QRSU4020528,22,standard,loaded,Durban,18578.19,high,Terminal A,2026-01-25
439,OPXU8536381,11,reefer,loaded,Valencia,6434.74,high,Terminal B,2026-01-21
440,WLMU4051509,102,reefer,loaded,Jebel Ali,20828.86,normal,Terminal A,2026-03-13
441,WLMU2154992,77,standard,loaded,Los Angeles,2430.63,normal,Terminal C,2026-04-17
442,OPXU2615622,106,standard,delayed,Vancouver,3014.95,high,Terminal B,2026-04-30
443,VNKU3186555,12,open_top,loaded,Rotterdam,25321.19,high,Terminal B,2026-06-13
444,VNKU7213902,67,open_top,dispatched,Tanjung Pelepas,7966.64,high,Terminal A,2026-06-05
445,WLMU2639417,45,standard,in_yard,Busan,25662.22,low,Terminal A,2026-08-10
446,OPXU1091762,33,reefer,dispatched,Durban,15586.06,normal,Terminal B,2026-07-17
447,OPXU6299951,84,standard,in_yard,Tanjung Pelepas,18940.97,normal,Terminal B,2026-06-03
448,QRSU5623138,73,flat_rack,loaded,Santos,12743.93,high,Terminal A,2026-01-12
449,QRSU9116148,23,standard,in_yard,Colombo,22129.06,normal,Terminal B,2026-07-22
450,BFPU2997927,110,reefer,loaded,Jebel Ali,4607.24,normal,Terminal B,2026-06-05
451,WLMU1873301,103,standard,damaged,Rotterdam,22913.6,high,Terminal B,2026-03-16
452,WLMU8304421,119,standard,in_yard,Colombo,4081.03,low,Terminal C,2026-03-08
453,VNKU9741022,120,standard,damaged,Singapore,26588.61,high,Terminal A,2026-07-30
454,ZTCU4384085,57,open_top,delayed,Algeciras,9436.17,low,Terminal B,2026-06-02
455,OPXU1605005,79,standard,dispatched,Jebel Ali,4257.91,normal,Terminal A,2026-08-25
456,JHDU7629401,46,standard,in_yard,Rotterdam,21160.06,low,Terminal A,2026-02-16
457,QRSU6840069,71,standard,dispatched,Busan,17765.45,low,Terminal C,2026-01-04
458,ZTCU5380657,74,standard,loaded,Nhava Sheva,3882.04,normal,Terminal B,2026-07-19
459,WLMU5323377,103,open_top,dispatched,Durban,8503.68,normal,Terminal B,2026-03-16
460,VNKU5081447,73,dangerous_goods,damaged,Felixstowe,19721.46,high,Terminal A,2026-01-11
461,ZTCU5325497,62,standard,dispatched,Busan,19599.74,normal,Terminal A,2026-02-04
462,QRSU9665502,53,standard,dispatched,Antwerp,8454.7,low,Terminal C,2026-01-17
463,WLMU3994493,10,standard,loaded,Durban,8995.97,urgent,Terminal A,2026-06-30
464,JHDU4349848,64,standard,in_yard,Antwerp,7376.24,normal,Terminal C,2026-07-26
465,WLMU6973148,108,standard,in_yard,Shanghai,19571.12,normal,Terminal B,2026-01-02
466,BFPU1709057,98,dangerous_goods,loaded,Long Beach,14800.85,urgent,Terminal C,2026-06-29
467,OPXU9575399,63,standard,in_yard,Durban,5334.39,normal,Terminal C,2026-02-11
468,WLMU1546310,62,standard,loaded,Jebel Ali,13887.1,low,Terminal A,2026-02-04
469,JHDU1141240,41,standard,in_yard,Durban,4619.44,normal,Terminal A,2026-08-15
470,WLMU5409875,24,standard,loaded,Vancouver,10920.51,low,Terminal C,2026-05-01
471,VNKU7246319,27,standard,loaded,Felixstowe,6677.12,low,Terminal A,2026-07-04
472,ZTCU5528994,105,dangerous_goods,loaded,Piraeus,7097.64,high,Terminal B,2026-06-30
473,BFPU1163448,61,standard,loaded,Algeciras,15883.55,normal,Terminal A,2026-06-10
474,QRSU1800429,39,standard,dispatched,Singapore,7602.15,normal,Terminal B,2026-02-28
475,JHDU6614605,58,standard,loaded,Nhava Sheva,26227.96,normal,Terminal B,2026-05-25
476,ZTCU6890320,53,open_top,damaged,Santos,16998.2,normal,Terminal C,2026-01-16
477,QRSU6957741,100,standard,loaded,Felixstowe,25130.44,normal,Terminal C,2026-07-29
478,JHDU3430151,60,open_top,dispatched,Long Beach,12967.23,normal,Terminal A,2026-04-29
479,ZTCU2327277,109,standard,in_yard,Long Beach,18978.34,normal,Terminal C,2026-08-03
480,VNKU7092894,35,reefer,loaded,Felixstowe,12763.72,low,Terminal B,2026-05-19
481,JHDU4936391,17,reefer,delayed,Shanghai,7474.86,normal,Terminal C,2026-04-13
482,VNKU1903041,9,standard,loaded,Shanghai,4702.14,normal,Terminal B,2026-03-17
483,VNKU6190378,84,standard,dispatched,Felixstowe,18288.5,low,Terminal B,2026-06-02
484,ZTCU6986802,4,open_top,in_yard,Valencia,14147.03,high,Terminal B,2026-02-21
485,VNKU3266851,71,flat_rack,dispatched,Jebel Ali,17361.6,normal,Terminal C,2026-01-04
486,JHDU9955411,68,standard,in_yard,Nhava Sheva,7905.34,low,Terminal A,2026-05-11
487,VNKU5358838,47,standard,in_yard,Algeciras,23199.87,high,Terminal C,2026-08-10
488,VNKU9977469,37,standard,delayed,Valencia,9789.87,high,Terminal C,2026-02-28
489,OPXU1121097,77,standard,in_yard,Nhava Sheva,13364.77,normal,Terminal C,2026-04-17
490,VNKU4700926,107,standard,loaded,Busan,15431.86,high,Terminal C,2026-06-29
491,JHDU9924543,37,dangerous_goods,loaded,Shanghai,6742.59,normal,Terminal C,2026-02-28
492,VNKU5565653,80,reefer,loaded,Long Beach,2504.28,low,Terminal B,2026-06-18
493,ZTCU5733096,24,standard,dispatched,Rotterdam,8053.07,low,Terminal C,2026-05-01
494,QRSU8050508,28,standard,dispatched,Colombo,14055.8,high,Terminal C,2026-01-29
495,BFPU3450947,11,standard,dispatched,Shanghai,16122.99,low,Terminal B,2026-01-22
496,VNKU1211652,105,standard,dispatched,Busan,12004.75,urgent,Terminal B,2026-06-30
497,ZTCU4341683,95,standard,dispatched,Algeciras,19316.2,normal,Terminal C,2026-07-17
498,QRSU6420100,88,standard,dispatched,Nhava Sheva,15544.08,normal,Terminal C,2026-03-22
499,QRSU1873883,26,open_top,in_yard,Los Angeles,8135.11,normal,Terminal A,2026-03-29
500,BFPU5632190,22,reefer,loaded,Busan,2232.18,low,Terminal A,2026-01-25
501,WLMU3600333,89,standard,in_yard,Jebel Ali,14997.9,normal,Terminal A,2026-05-27
502,BFPU2007511,120,standard,dispatched,Nhava Sheva,22578.12,low,Terminal A,2026-07-29
503,WLMU6827024,41,dangerous_goods,loaded,Santos,2555.17,normal,Terminal A,2026-08-14
504,ZTCU9142018,33,reefer,loaded,Nhava Sheva,20122.98,low,Terminal B,2026-07-16
505,QRSU6430463,70,reefer,in_yard,Vancouver,25776.32,normal,Terminal B,2026-06-13
506,OPXU8539415,68,standard,in_yard,Colombo,13806.05,high,Terminal A,2026-05-11
507,OPXU1314067,94,reefer,loaded,Vancouver,8208.45,normal,Terminal B,2026-02-08
508,WLMU9347489,25,dangerous_goods,in_yard,Ningbo,10387.6,normal,Terminal C,2026-06-24
509,WLMU2118702,13,standard,delayed,Jebel Ali,24710.81,normal,Terminal A,2026-03-11
510,ZTCU1533803,25,reefer,dispatched,Valencia,15671.36,normal,Terminal C,2026-06-25
511,QRSU4703113,7,reefer,in_yard,Santos,19049.48,high,Terminal B,2026-04-08
512,BFPU2018380,60,standard,dispatched,Tanjung Pelepas,23372.69,high,Terminal A,2026-04-28
513,WLMU5459646,106,standard,dispatched,Ningbo,4026.32,normal,Terminal B,2026-04-30
514,JHDU4875838,13,standard,in_yard,Algeciras,19078.79,normal,Terminal A,2026-03-10
515,JHDU7965641,72,reefer,dispatched,Durban,11307.05,normal,Terminal C,2026-05-21
516,ZTCU3798595,114,dangerous_goods,loaded,Algeciras,10775.33,low,Terminal B,2026-04-28
517,QRSU6287423,120,reefer,damaged,Colombo,12720.93,normal,Terminal A,2026-07-30
518,OPXU4589118,78,standard,loaded,Antwerp,11360.22,normal,Terminal A,2026-08-13
519,JHDU1581546,1,flat_rack,loaded,Algeciras,5512.23,high,Terminal A,2026-01-07
520,OPXU4604128,39,open_top,in_yard,Antwerp,25896.91,normal,Terminal B,2026-02-28
521,ZTCU8723723,13,standard,in_yard,Colombo,25130.26,normal,Terminal A,2026-03-11
522,QRSU2541912,104,reefer,loaded,Santos,21090.91,normal,Terminal B,2026-01-22
523,VNKU2599943,23,reefer,in_yard,Durban,11920.2,high,Terminal B,2026-07-23
524,BFPU8286418,45,standard,delayed,Busan,21439.65,high,Terminal A,2026-08-09
525,BFPU7417066,82,standard,loaded,Long Beach,16038.17,low,Terminal A,2026-08-04
526,ZTCU7591477,20,flat_rack,dispatched,Durban,15122.96,normal,Terminal C,2026-05-25
527,VNKU3483236,101,standard,in_yard,Durban,21378.19,normal,Terminal A,2026-02-11
528,VNKU9419194,11,standard,dispatched,Hamburg,14503.99,low,Terminal B,2026-01-22
529,WLMU4290000,84,reefer,damaged,Algeciras,8402.39,low,Terminal B,2026-06-03
530,JHDU2503148,42,standard,loaded,Colombo,11056.0,normal,Terminal A,2026-07-26
531,QRSU3839632,99,flat_rack,dispatched,Felixstowe,18202.74,normal,Terminal C,2026-07-25
532,JHDU7271672,26,standard,dispatched,Shanghai,4921.67,low,Terminal A,2026-03-29
533,BFPU5826554,112,standard,dispatched,Los Angeles,9933.07,normal,Terminal C,2026-01-08
534,JHDU4554677,27,standard,loaded,Antwerp,16268.8,normal,Terminal A,2026-07-04
535,JHDU1308508,89,standard,delayed,Algeciras,3130.53,low,Terminal A,2026-05-27
536,BFPU5551347,26,standard,dispatched,Rotterdam,3731.54,normal,Terminal A,2026-03-30
537,ZTCU1320081,111,standard,delayed,Piraeus,8010.38,normal,Terminal B,2026-03-28
538,QRSU9131281,116,open_top,loaded,Jebel Ali,7170.76,urgent,Terminal C,2026-02-27
539,OPXU9882115,6,standard,loaded,Jebel Ali,2477.68,normal,Terminal B,2026-03-30
540,QRSU4962858,81,flat_rack,damaged,Antwerp,23109.21,normal,Terminal C,2026-07-18
541,BFPU1494355,114,flat_rack,delayed,Busan,5944.41,high,Terminal B,2026-04-27
542,JHDU7412371,12,standard,dispatched,Busan,12850.67,normal,Terminal B,2026-06-13
543,WLMU6524481,40,standard,in_yard,Hamburg,17106.8,normal,Terminal A,2026-06-21
544,OPXU6184132,111,reefer,delayed,Hamburg,13181.67,high,Terminal B,2026-03-28
545,WLMU3651604,84,standard,loaded,Los Angeles,6787.52,high,Terminal B,2026-06-02
546,ZTCU6346688,94,open_top,loaded,Tanjung Pelepas,9887.05,normal,Terminal B,2026-02-08
547,BFPU4153002,20,standard,in_yard,Vancouver,18040.61,normal,Terminal C,2026-05-24
548,OPXU4874066,77,reefer,loaded,Valencia,5486.25,high,Terminal C,2026-04-17
549,JHDU7273997,92,standard,loaded,Valencia,5575.33,low,Terminal C,2026-01-22
550,BFPU1251897,53,open_top,damaged,Busan,21301.53,urgent,Terminal C,2026-01-16
551,OPXU8369982,9,open_top,loaded,Long Beach,24536.15,high,Terminal B,2026-03-18
552,BFPU1701728,52,reefer,dispatched,Long Beach,12247.92,urgent,Terminal C,2026-03-17
553,ZTCU8576751,67,standard,delayed,Busan,15486.27,normal,Terminal A,2026-06-04
554,VNKU9659168,72,dangerous_goods,damaged,Santos,9570.66,normal,Terminal C,2026-05-21
555,BFPU5796850,100,standard,loaded,Vancouver,25894.85,normal,Terminal C,2026-07-28
556,BFPU8578236,60,standard,loaded,Jebel Ali,22247.01,urgent,Terminal A,2026-04-28
557,VNKU6426773,51,standard,in_yard,Durban,25312.06,high,Terminal B,2026-06-29
558,QRSU6437072,12,reefer,delayed,Jebel Ali,20677.74,low,Terminal B,2026-06-12
559,VNKU7089179,91,standard,dispatched,Algeciras,17913.89,low,Terminal C,2026-02-25
560,BFPU3866974,6,open_top,loaded,Hamburg,6215.23,low,Terminal B,2026-03-29
561,QRSU6192855,54,reefer,damaged,Ningbo,18287.77,low,Terminal C,2026-08-24
562,ZTCU5246497,26,standard,loaded,Valencia,16131.03,low,Terminal A,2026-03-30
563,OPXU8981122,31,standard,loaded,Vancouver,17602.65,normal,Terminal A,2026-08-14
564,JHDU4483580,80,standard,in_yard,Colombo,2954.75,high,Terminal B,2026-06-19
565,ZTCU1822609,43,standard,damaged,Jebel Ali,19474.35,normal,Terminal C,2026-04-01
566,JHDU7042962,59,flat_rack,in_yard,Ningbo,10393.37,high,Terminal C,2026-03-03
567,VNKU2089275,98,standard,in_yard,Antwerp,10559.42,normal,Terminal C,2026-06-28
568,OPXU1976175,90,standard,dispatched,Algeciras,27666.92,normal,Terminal B,2026-07-22
569,WLMU6309796,55,standard,loaded,Vancouver,11200.19,low,Terminal C,2026-02-18
570,JHDU9350710,67,standard,in_yard,Vancouver,8050.76,normal,Terminal A,2026-06-04
571,ZTCU1402431,1,standard,dispatched,Santos,22788.67,urgent,Terminal A,2026-01-08
572,QRSU6866154,6,reefer,dispatched,Rotterdam,18656.08,normal,Terminal B,2026-03-30
573,ZTCU6163566,102,standard,loaded,Rotterdam,4959.76,normal,Terminal A,2026-03-13
574,WLMU1488508,93,dangerous_goods,in_yard,Long Beach,25979.27,normal,Terminal A,2026-01-25
575,ZTCU3277572,103,standard,dispatched,Nhava Sheva,25294.14,normal,Terminal B,2026-03-16
576,JHDU1939897,119,dangerous_goods,in_yard,Long Beach,16434.61,low,Terminal C,2026-03-08
577,BFPU6932348,103,standard,in_yard,Rotterdam,10817.96,normal,Terminal B,2026-03-15
578,WLMU7535837,74,standard,in_yard,Ningbo,20336.92,normal,Terminal B,2026-07-19
579,VNKU2456225,35,standard,in_yard,Felixstowe,23565.89,normal,Terminal B,2026-05-20
580,ZTCU7278297,23,dangerous_goods,dispatched,Shanghai,13538.13,low,Terminal B,2026-07-23
581,WLMU3584996,116,standard,delayed,Algeciras,10069.33,normal,Terminal C,2026-02-27
582,WLMU3226624,106,standard,in_yard,Piraeus,20555.61,normal,Terminal B,2026-04-30
583,ZTCU2460891,40,standard,delayed,Los Angeles,15535.02,normal,Terminal A,2026-06-22
584,WLMU6236888,3,reefer,in_yard,Santos,7006.19,normal,Terminal C,2026-01-25
585,VNKU2973853,99,standard,in_yard,Los Angeles,2396.67,normal,Terminal C,2026-07-25
586,WLMU6877363,27,standard,in_yard,Ningbo,16926.16,low,Terminal A,2026-07-05
587,QRSU8443172,79,standard,in_yard,Singapore,4754.1,low,Terminal A,2026-08-25
